1628525600879,2021.08.09 19:13:20.879,ERROR,PRETTY_LOGGER,ModuleID(0x100)----virtual MRESULT CQVETMutliInputFilterOutputStream::UpdateFrameBuffer()----ERR----0x74b75f4000 find filter fail,template id=5404319552844660737
1628525600879,2021.08.09 19:13:20.879,ERROR,PRETTY_LOGGER,ModuleID(0x100)----virtual MRESULT CQVETMutliInputFilterOutputStream::UpdateFrameBuffer()----ERR----this(0x74b75f4000) return res = 0x807015
1628525600919,2021.08.09 19:13:20.919,ERROR,PRETTY_LOGGER,ModuleID(0x100)----virtual MRESULT CQVETMutliInputFilterOutputStream::UpdateFrameBuffer()----ERR----this(0x753ef80000) return res = 0x80701d
1628525600920,2021.08.09 19:13:20.920,ERROR,PRETTY_LOGGER,ModuleID(0x100)----virtual MRESULT CQVETMutliInputFilterOutputStream::UpdateFrameBuffer()----ERR----0x74b75f4000 find filter fail,template id=5404319552844660737
1628525600920,2021.08.09 19:13:20.920,ERROR,PRETTY_LOGGER,ModuleID(0x100)----virtual MRESULT CQVETMutliInputFilterOutputStream::UpdateFrameBuffer()----ERR----this(0x74b75f4000) return res = 0x807015
1628525600957,2021.08.09 19:13:20.957,ERROR,PRETTY_LOGGER,ModuleID(0x100)----virtual MRESULT CQVETMutliInputFilterOutputStream::UpdateFrameBuffer()----ERR----this(0x753ef80000) return res = 0x80701d
1628525600958,2021.08.09 19:13:20.958,ERROR,PRETTY_LOGGER,ModuleID(0x100)----virtual MRESULT CQVETMutliInputFilterOutputStream::UpdateFrameBuffer()----ERR----0x74b75f4000 find filter fail,template id=5404319552844660737
1628525600959,2021.08.09 19:13:20.959,ERROR,PRETTY_LOGGER,ModuleID(0x100)----virtual MRESULT CQVETMutliInputFilterOutputStream::UpdateFrameBuffer()----ERR----this(0x74b75f4000) return res = 0x807015
1628525601000,2021.08.09 19:13:21.000,ERROR,PRETTY_LOGGER,ModuleID(0x100)----virtual MRESULT CQVETMutliInputFilterOutputStream::UpdateFrameBuffer()----ERR----this(0x753ef80000) return res = 0x80701d
1628525601000,2021.08.09 19:13:21.000,ERROR,PRETTY_LOGGER,ModuleID(0x100)----virtual MRESULT CQVETMutliInputFilterOutputStream::UpdateFrameBuffer()----ERR----0x74b75f4000 find filter fail,template id=5404319552844660737
